naics,naics_title,sic,sic_description
114119,Other Marine Fishing ,0919,Miscellaneous Marine Products
114210,Hunting and Trapping,0971,"Hunting, Trapping, Game Propagation"
115111,Cotton Ginning ,0724,Cotton Ginning
115112,"Soil Preparation, Planting, and Cultivating ",0711,Soil Preparation Services
115112,"Soil Preparation, Planting, and Cultivating ",0721,Crop Planting and Protection
115113,"Crop Harvesting, Primarily by Machine ",0722,Crop Harvesting
115114,Postharvest Crop Activities (except Cotton Ginning) ,0723,Crop Preparation Services For Market
115115,Farm Labor Contractors and Crew Leaders ,0761,Farm Labor Contractors
115116,Farm Management Services ,0762,Farm Management Services
115210,Support Activities for Animal Production,0751,"Livestock Services, Except Veterinary"
115210,Support Activities for Animal Production,0752,Animal Specialty Services
115210,Support Activities for Animal Production,7699,"Repair Services, Nec"
115310,Support Activities for Forestry,0851,Forestry Services
211120,Crude Petroleum Extraction ,1311,Crude Petroleum and Natural Gas
211130,Natural Gas Extraction ,1321,Natural Gas Liquids
211130,Natural Gas Extraction ,2819,"Industrial Inorganic Chemicals, Nec"
212114,Surface Coal Mining ,1221,Bituminous Coal and Lignite-surface Mining
212114,Surface Coal Mining ,1231,Anthracite Mining
212115,Underground Coal Mining ,1222,Bituminous Coal-underground Mining
212115,Underground Coal Mining ,1231,Anthracite Mining
212210,Iron Ore Mining,1011,Iron Ores
212220,Gold Ore and Silver Ore Mining ,1041,Gold Ores
212220,Gold Ore and Silver Ore Mining ,1044,Silver Ores
212230,"Copper, Nickel, Lead, and Zinc Mining ",1021,Copper Ores
212230,"Copper, Nickel, Lead, and Zinc Mining ",1031,Lead and Zinc Ores
212230,"Copper, Nickel, Lead, and Zinc Mining ",1061,"Ferroalloy Ores, Except Vanadium"
212290,Other Metal Ore Mining ,1061,"Ferroalloy Ores, Except Vanadium"
212290,Other Metal Ore Mining ,1099,"Metal Ores, Nec"
212290,Other Metal Ore Mining ,1094,Uranium-radium-vanadium Ores
212311,Dimension Stone Mining and Quarrying ,1411,Dimension Stone
212312,Crushed and Broken Limestone Mining and Quarrying ,1422,Crushed and Broken Limestone
212313,Crushed and Broken Granite Mining and Quarrying ,1423,Crushed and Broken Granite
212319,Other Crushed and Broken Stone Mining and Quarrying ,1429,"Crushed and Broken Stone, Nec"
212319,Other Crushed and Broken Stone Mining and Quarrying ,1499,Miscellaneous Nonmetallic Mining
212321,Construction Sand and Gravel Mining ,1442,Construction Sand and Gravel
212322,Industrial Sand Mining ,1446,Industrial Sand
212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining ",1455,Kaolin and Ball Clay
212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining ",3295,"Minerals, Ground or Treated"
212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining ",1459,"Clay and Related Minerals, Nec"
212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining ",3295,"Minerals, Ground or Treated"
212390,Other Nonmetallic Mineral Mining and Quarrying ,1499,Miscellaneous Nonmetallic Mining
212390,Other Nonmetallic Mineral Mining and Quarrying ,3295,"Minerals, Ground or Treated"
212390,Other Nonmetallic Mineral Mining and Quarrying ,1474,"Potash, Soda, and Borate Minerals"
212390,Other Nonmetallic Mineral Mining and Quarrying ,1475,Phosphate Rock
212390,Other Nonmetallic Mineral Mining and Quarrying ,1479,Chemical and Fertilizer Mining
212390,Other Nonmetallic Mineral Mining and Quarrying ,3295,"Minerals, Ground or Treated"
213111,Drilling Oil and Gas Wells,1381,Drilling Oil and Gas Wells
213112,Support Activities for Oil and Gas Operations ,1382,Oil and Gas Exploration Services
213112,Support Activities for Oil and Gas Operations ,1389,"Oil and Gas Field Services, Nec"
213113,Support Activities for Coal Mining ,1241,Coal Mining Services
213114,Support Activities for Metal Mining ,1081,Metal Mining Services
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining ,1481,"Nonmetallic Minerals Services, Except Fuels"
221111,Hydroelectric Power Generation ,4911,Electric Services
221111,Hydroelectric Power Generation ,4931,Electric and Other Services Combined
221111,Hydroelectric Power Generation ,4939,"Combination Utilities, Nec"
221112,Fossil Fuel Electric Power Generation ,4911,Electric Services
221112,Fossil Fuel Electric Power Generation ,4931,Electric and Other Services Combined
221112,Fossil Fuel Electric Power Generation ,4939,"Combination Utilities, Nec"
221113,Nuclear Electric Power Generation ,4911,Electric Services
221113,Nuclear Electric Power Generation ,4931,Electric and Other Services Combined
221113,Nuclear Electric Power Generation ,4939,"Combination Utilities, Nec"
221114,Solar Electric Power Generation ,4911,Electric Services
221114,Solar Electric Power Generation ,4931,Electric and Other Services Combined
221114,Solar Electric Power Generation ,4939,"Combination Utilities, Nec"
221115,Wind Electric Power Generation ,4911,Electric Services
221115,Wind Electric Power Generation ,4931,Electric and Other Services Combined
221115,Wind Electric Power Generation ,4939,"Combination Utilities, Nec"
221116,Geothermal Electric Power Generation ,4911,Electric Services
221116,Geothermal Electric Power Generation ,4931,Electric and Other Services Combined
221116,Geothermal Electric Power Generation ,4939,"Combination Utilities, Nec"
221117,Biomass Electric Power Generation ,4911,Electric Services
221117,Biomass Electric Power Generation ,4931,Electric and Other Services Combined
221117,Biomass Electric Power Generation ,4939,"Combination Utilities, Nec"
221118,Other Electric Power Generation ,4911,Electric Services
221118,Other Electric Power Generation ,4931,Electric and Other Services Combined
221118,Other Electric Power Generation ,4939,"Combination Utilities, Nec"
221121,Electric Bulk Power Transmission and Control ,4911,Electric Services
221121,Electric Bulk Power Transmission and Control ,4931,Electric and Other Services Combined
221121,Electric Bulk Power Transmission and Control ,4939,"Combination Utilities, Nec"
221122,Electric Power Distribution ,4911,Electric Services
221122,Electric Power Distribution ,4931,Electric and Other Services Combined
221122,Electric Power Distribution ,4939,"Combination Utilities, Nec"
221210,Natural Gas Distribution ,4923,Gas Transmission and Distribution
221210,Natural Gas Distribution ,4924,Natural Gas Distribution
221210,Natural Gas Distribution ,4925,Gas Production and/or Distribution
221210,Natural Gas Distribution ,4931,Electric and Other Services Combined
221210,Natural Gas Distribution ,4932,Gas and Other Services Combined
221210,Natural Gas Distribution ,4939,"Combination Utilities, Nec"
221310,Water Supply and Irrigation Systems ,4941,Water Supply
221310,Water Supply and Irrigation Systems ,4971,Irrigation Systems
221320,Sewage Treatment Facilities ,4952,Sewerage Systems
221330,Steam and Air-Conditioning Supply ,4961,Steam and Air-conditioning Supply
236115,New Single-Family Housing Construction (except For-Sale Builders) ,1521,Single-family Housing Construction
236115,New Single-Family Housing Construction (except For-Sale Builders) ,8741,Management Services
236116,New Multifamily Housing Construction (except For-Sale Builders) ,1522,"Residential Construction, Nec"
236116,New Multifamily Housing Construction (except For-Sale Builders) ,8741,Management Services
236117,New Housing For-Sale Builders ,1531,Operative Builders
236118,Residential Remodelers ,1521,Single-family Housing Construction
236118,Residential Remodelers ,1522,"Residential Construction, Nec"
236118,Residential Remodelers ,1531,Operative Builders
236118,Residential Remodelers ,8741,Management Services
236210,Industrial Building Construction ,1531,Operative Builders
236210,Industrial Building Construction ,1541,Industrial Buildings and Warehouses
236210,Industrial Building Construction ,1629,"Heavy Construction, Nec"
236210,Industrial Building Construction ,8741,Management Services
236220,Commercial and Institutional Building Construction ,1522,"Residential Construction, Nec"
236220,Commercial and Institutional Building Construction ,1531,Operative Builders
236220,Commercial and Institutional Building Construction ,1541,Industrial Buildings and Warehouses
236220,Commercial and Institutional Building Construction ,1542,"Nonresidential Construction, Nec"
236220,Commercial and Institutional Building Construction ,1799,"Special Trade Contractors, Nec"
236220,Commercial and Institutional Building Construction ,8741,Management Services
237110,Water and Sewer Line and Related Structures Construction ,1623,"Water, Sewer, and Utility Lines"
237110,Water and Sewer Line and Related Structures Construction ,1629,"Heavy Construction, Nec"
237110,Water and Sewer Line and Related Structures Construction ,1781,Water Well Drilling
237110,Water and Sewer Line and Related Structures Construction ,8741,Management Services
237120,Oil and Gas Pipeline and Related Structures Construction ,1389,"Oil and Gas Field Services, Nec"
237120,Oil and Gas Pipeline and Related Structures Construction ,1623,"Water, Sewer, and Utility Lines"
237120,Oil and Gas Pipeline and Related Structures Construction ,1629,"Heavy Construction, Nec"
237120,Oil and Gas Pipeline and Related Structures Construction ,8741,Management Services
237130,Power and Communication Line and Related Structures Construction ,1623,"Water, Sewer, and Utility Lines"
237130,Power and Communication Line and Related Structures Construction ,1629,"Heavy Construction, Nec"
237130,Power and Communication Line and Related Structures Construction ,8741,Management Services
237210,Land Subdivision ,6552,"Subdividers and Developers, Nec"
237310,"Highway, Street, and Bridge Construction ",1611,Highway and Street Construction
237310,"Highway, Street, and Bridge Construction ",1622,"Bridge, Tunnel, and Elevated Highway"
237310,"Highway, Street, and Bridge Construction ",1721,Painting and Paper Hanging
237310,"Highway, Street, and Bridge Construction ",8741,Management Services
237990,Other Heavy and Civil Engineering Construction ,1622,"Bridge, Tunnel, and Elevated Highway"
237990,Other Heavy and Civil Engineering Construction ,1629,"Heavy Construction, Nec"
237990,Other Heavy and Civil Engineering Construction ,1799,"Special Trade Contractors, Nec"
237990,Other Heavy and Civil Engineering Construction ,8741,Management Services
238110,Poured Concrete Foundation and Structure Contractors ,1771,Concrete Work
238120,Structural Steel and Precast Concrete Contractors ,1791,Structural Steel Erection
238130,Framing Contractors ,1751,Carpentry Work
238140,Masonry Contractors ,1741,Masonry and Other Stonework
238140,Masonry Contractors ,1771,Concrete Work
238150,Glass and Glazing Contractors ,1793,Glass and Glazing Work
238150,Glass and Glazing Contractors ,1799,"Special Trade Contractors, Nec"
238160,Roofing Contractors ,1761,"Roofing, Siding, and Sheetmetal Work"
238170,Siding Contractors ,1761,"Roofing, Siding, and Sheetmetal Work"
238190,"Other Foundation, Structure, and Building Exterior Contractors ",1791,Structural Steel Erection
238190,"Other Foundation, Structure, and Building Exterior Contractors ",1799,"Special Trade Contractors, Nec"
238210,Electrical Contractors and Other Wiring Installation Contractors,1711,"Plumbing, Heating, Air-conditioning"
238210,Electrical Contractors and Other Wiring Installation Contractors,1731,Electrical Work
238220,"Plumbing, Heating, and Air-Conditioning Contractors ",1711,"Plumbing, Heating, Air-conditioning"
238220,"Plumbing, Heating, and Air-Conditioning Contractors ",1791,Structural Steel Erection
238220,"Plumbing, Heating, and Air-Conditioning Contractors ",1796,Installing Building Equipment
238220,"Plumbing, Heating, and Air-Conditioning Contractors ",7699,"Repair Services, Nec"
238290,Other Building Equipment Contractors ,1796,Installing Building Equipment
238290,Other Building Equipment Contractors ,1799,"Special Trade Contractors, Nec"
238290,Other Building Equipment Contractors ,7622,Radio and Television Repair
238310,Drywall and Insulation Contractors ,1742,"Plastering, Drywall, and Insulation"
238310,Drywall and Insulation Contractors ,1743,"Terrazzo, Tile, Marble, Mosaic Work"
238310,Drywall and Insulation Contractors ,1752,"Floor Laying and Floor Work, Nec"
238310,Drywall and Insulation Contractors ,1791,Structural Steel Erection
238310,Drywall and Insulation Contractors ,1799,"Special Trade Contractors, Nec"
238320,Painting and Wall Covering Contractors,1721,Painting and Paper Hanging
238320,Painting and Wall Covering Contractors,1799,"Special Trade Contractors, Nec"
238330,Flooring Contractors,1752,"Floor Laying and Floor Work, Nec"
238340,Tile and Terrazzo Contractors,1743,"Terrazzo, Tile, Marble, Mosaic Work"
238350,Finish Carpentry Contractors,1751,Carpentry Work
238350,Finish Carpentry Contractors,1799,"Special Trade Contractors, Nec"
238390,Other Building Finishing Contractors,1761,"Roofing, Siding, and Sheetmetal Work"
238390,Other Building Finishing Contractors,1799,"Special Trade Contractors, Nec"
238910,Site Preparation Contractors,1081,Metal Mining Services
238910,Site Preparation Contractors,1241,Coal Mining Services
238910,Site Preparation Contractors,1389,"Oil and Gas Field Services, Nec"
238910,Site Preparation Contractors,1481,Nonmetallic Mineral Services
238910,Site Preparation Contractors,1629,"Heavy Construction, Nec"
238910,Site Preparation Contractors,1711,"Plumbing, Heating, Air-conditioning"
238910,Site Preparation Contractors,1794,Excavation Work
238910,Site Preparation Contractors,1795,Wrecking and Demolition Work
238910,Site Preparation Contractors,1799,"Special Trade Contractors, Nec"
238910,Site Preparation Contractors,7353,Heavy Construction Equipment Rental
238990,All Other Specialty Trade Contractors,1771,Concrete Work
238990,All Other Specialty Trade Contractors,1799,"Special Trade Contractors, Nec"
238990,All Other Specialty Trade Contractors,7353,Heavy Construction Equipment Rental
311111,Dog and Cat Food Manufacturing ,2047,Dog and Cat Food
311119,Other Animal Food Manufacturing ,0723,Crop Preparation Services For Market
311119,Other Animal Food Manufacturing ,2048,"Prepared Feeds, Nec"
311211,Flour Milling ,2034,"Dehydrated Fruits, Vegetables, Soups"
311211,Flour Milling ,2041,Flour and Other Grain Mill Products
311212,Rice Milling ,2044,Rice Milling
311212,Rice Milling ,2099,"Food Preparations, Nec"
311213,Malt Manufacturing ,2083,Malt
311221,Wet Corn Milling and Starch Manufacturing ,2046,Wet Corn Milling
311224,Soybean and Other Oilseed Processing ,2074,Cottonseed Oil Mills
311224,Soybean and Other Oilseed Processing ,2075,Soybean Oil Mills
311224,Soybean and Other Oilseed Processing ,2076,"Vegetable Oil Mills, Nec"
311224,Soybean and Other Oilseed Processing ,2079,Edible Fats and Oils
311224,Soybean and Other Oilseed Processing ,2079,Edible Fats and Oils
311225,Fats and Oils Refining and Blending ,2046,Wet Corn Milling
311225,Fats and Oils Refining and Blending ,2074,Cottonseed Oil Mills
311225,Fats and Oils Refining and Blending ,2075,Soybean Oil Mills
311225,Fats and Oils Refining and Blending ,2076,"Vegetable Oil Mills, Nec"
311225,Fats and Oils Refining and Blending ,2079,Edible Fats and Oils
311230,Breakfast Cereal Manufacturing,2043,Cereal Breakfast Foods
311313,Beet Sugar Manufacturing ,2063,Beet Sugar
311314,Cane Sugar Manufacturing ,2061,Raw Cane Sugar
311314,Cane Sugar Manufacturing ,2062,Cane Sugar Refining
311340,Nonchocolate Confectionery Manufacturing,2064,Candy and Other Confectionery Products
311340,Nonchocolate Confectionery Manufacturing,2067,Chewing Gum
311340,Nonchocolate Confectionery Manufacturing,2099,"Food Preparations, Nec"
311340,Nonchocolate Confectionery Manufacturing,5441,"Candy, Nut, and Confectionery Stores"
311351,Chocolate and Confectionery Manufacturing from Cacao Beans ,2066,Chocolate and Cocoa Products
311352,Confectionery Manufacturing from Purchased Chocolate ,2064,Candy and Other Confectionery Products
311352,Confectionery Manufacturing from Purchased Chocolate ,2066,Chocolate and Cocoa Products
311352,Confectionery Manufacturing from Purchased Chocolate ,5441,"Candy, Nut, and Confectionery Stores"
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing ",2037,Frozen Fruits and Vegetables
311412,Frozen Specialty Food Manufacturing ,2038,"Frozen Specialties, Nec"
311421,Fruit and Vegetable Canning ,2033,Canned Fruits and Specialties
311421,Fruit and Vegetable Canning ,2035,"Pickles, Sauces, and Salad Dressings"
311422,Specialty Canning ,2032,Canned Specialties
311423,Dried and Dehydrated Food Manufacturing ,2034,"Dehydrated Fruits, Vegetables, Soups"
311423,Dried and Dehydrated Food Manufacturing ,2099,"Food Preparations, Nec"
311511,Fluid Milk Manufacturing ,2023,"Dry, Condensed, Evaporated Products"
311511,Fluid Milk Manufacturing ,2026,Fluid Milk
311512,Creamery Butter Manufacturing ,2021,Creamery Butter
311513,Cheese Manufacturing ,2022,Cheese; Natural and Processed
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing ",2023,"Dry, Condensed, Evaporated Products"
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing ",2026,Fluid Milk
311520,Ice Cream and Frozen Dessert Manufacturing,2024,Ice Cream and Frozen Desserts
311611,Animal (except Poultry) Slaughtering ,0751,"Livestock Services, Except Veterinary"
311611,Animal (except Poultry) Slaughtering ,2011,Meat Packing Plants
311611,Animal (except Poultry) Slaughtering ,2048,"Prepared Feeds, Nec"
311612,Meat Processed from Carcasses ,2013,Sausages and Other Prepared Meats
311612,Meat Processed from Carcasses ,5147,Meats and Meat Products
311613,Rendering and Meat Byproduct Processing ,2013,Sausages and Other Prepared Meats
311613,Rendering and Meat Byproduct Processing ,2077,Animal and Marine Fats and Oils
311615,Poultry Processing ,2015,Poultry Slaughtering and Processing
311710,Seafood Product Preparation and Packaging,2077,Animal and Marine Fats and Oils
311710,Seafood Product Preparation and Packaging,2077,Animal and Marine Fats and Oils
311710,Seafood Product Preparation and Packaging,2091,Canned and Cured Fish and Seafoods
311710,Seafood Product Preparation and Packaging,2092,Fresh or Frozen Packaged Fish
311811,Retail Bakeries ,5461,Retail Bakeries
311812,Commercial Bakeries ,2051,"Bread, Cake, and Related Products"
311812,Commercial Bakeries ,2052,Cookies and Crackers
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing ",2053,"Frozen Bakery Products, Except Bread"
311821,Cookie and Cracker Manufacturing ,2052,Cookies and Crackers
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour ",2045,Prepared Flour Mixes and Doughs
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour ",2098,Macaroni and Spaghetti
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour ",2099,"Food Preparations, Nec"
311830,Tortilla Manufacturing,2099,"Food Preparations, Nec"
311911,Roasted Nuts and Peanut Butter Manufacturing ,2068,Salted and Roasted Nuts and Seeds
311911,Roasted Nuts and Peanut Butter Manufacturing ,2099,"Food Preparations, Nec"
311919,Other Snack Food Manufacturing ,2052,Cookies and Crackers
311919,Other Snack Food Manufacturing ,2096,Potato Chips and Similar Snacks
311920,Coffee and Tea Manufacturing ,2043,Cereal Breakfast Foods
311920,Coffee and Tea Manufacturing ,2087,"Flavoring Extracts and Syrups, Nec"
311920,Coffee and Tea Manufacturing ,2095,Roasted Coffee
311920,Coffee and Tea Manufacturing ,2099,"Food Preparations, Nec"
311930,Flavoring Syrup and Concentrate Manufacturing,2087,"Flavoring Extracts and Syrups, Nec"
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing ",2035,"Pickles, Sauces, and Salad Dressings"
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing ",2099,"Food Preparations, Nec"
311942,Spice and Extract Manufacturing ,2082,Malt Beverages
311942,Spice and Extract Manufacturing ,2087,"Flavoring Extracts and Syrups, Nec"
311942,Spice and Extract Manufacturing ,2099,"Food Preparations, Nec"
311942,Spice and Extract Manufacturing ,2899,"Chemical Preparations, Nec"
311991,Perishable Prepared Food Manufacturing ,2099,"Food Preparations, Nec"
311999,All Other Miscellaneous Food Manufacturing ,2015,Poultry Slaughtering and Processing
311999,All Other Miscellaneous Food Manufacturing ,2032,Canned Specialties
311999,All Other Miscellaneous Food Manufacturing ,2034,"Dehydrated Fruits, Vegetables, Soups"
311999,All Other Miscellaneous Food Manufacturing ,2087,"Flavoring Extracts and Syrups, Nec"
311999,All Other Miscellaneous Food Manufacturing ,2099,"Food Preparations, Nec"
312111,Soft Drink Manufacturing ,2086,Bottled and Canned Soft Drinks
312112,Bottled Water Manufacturing ,2086,Bottled and Canned Soft Drinks
312112,Bottled Water Manufacturing ,5149,"Groceries and Related Products, Nec"
312113,Ice Manufacturing ,2097,Manufactured Ice
312120,Breweries,2082,Malt Beverages
312130,Wineries ,2084,"Wines, Brandy, and Brandy Spirits"
312130,Wineries ,2085,Distilled and Blended Liquors
312140,Distilleries ,2085,Distilled and Blended Liquors
312230,Tobacco Manufacturing ,2111,Cigarettes
312230,Tobacco Manufacturing ,2121,Cigars
312230,Tobacco Manufacturing ,2131,Chewing and Smoking Tobacco
312230,Tobacco Manufacturing ,2141,Tobacco Stemming and Redrying
312230,Tobacco Manufacturing ,2141,Tobacco Stemming and Redrying
312230,Tobacco Manufacturing ,7389,"Business Services, Nec"
313110,"Fiber, Yarn, and Thread Mills ",2281,Yarn Spinning Mills
313110,"Fiber, Yarn, and Thread Mills ",2282,Throwing and Winding Mills
313110,"Fiber, Yarn, and Thread Mills ",2284,Thread Mills
313110,"Fiber, Yarn, and Thread Mills ",2298,Cordage and Twine
313110,"Fiber, Yarn, and Thread Mills ",2299,"Textile Goods, Nec"
313110,"Fiber, Yarn, and Thread Mills ",2299,"Textile Goods, Nec"
313110,"Fiber, Yarn, and Thread Mills ",2299,"Textile Goods, Nec"
313210,Broadwoven Fabric Mills,2211,"Broadwoven Fabric Mills, Cotton"
313210,Broadwoven Fabric Mills,2221,"Broadwoven Fabric Mills, Manmade"
313210,Broadwoven Fabric Mills,2231,"Broadwoven Fabric Mills, Wool"
313210,Broadwoven Fabric Mills,2299,"Textile Goods, Nec"
313220,Narrow Fabric Mills and Schiffli Machine Embroidery,2241,Narrow Fabric Mills
313220,Narrow Fabric Mills and Schiffli Machine Embroidery,2299,"Textile Goods, Nec"
313220,Narrow Fabric Mills and Schiffli Machine Embroidery,2397,Schiffli Machine Embroideries
313230,Nonwoven Fabric Mills,2297,Nonwoven Fabrics
313230,Nonwoven Fabric Mills,2299,"Textile Goods, Nec"
313240,Knit Fabric Mills,2257,Weft Knit Fabric Mills
313240,Knit Fabric Mills,2258,Lace and Warp Knit Fabric Mills
313240,Knit Fabric Mills,2259,"Knitting Mills, Nec"
313240,Knit Fabric Mills,2259,"Knitting Mills, Nec"
313310,Textile and Fabric Finishing Mills ,2231,"Broadwoven Fabric Mills, Wool"
313310,Textile and Fabric Finishing Mills ,2231,"Broadwoven Fabric Mills, Wool"
313310,Textile and Fabric Finishing Mills ,2251,"Women's Hosiery, Except Socks"
313310,Textile and Fabric Finishing Mills ,2252,"Hosiery, Nec"
313310,Textile and Fabric Finishing Mills ,2253,Knit Outerwear Mills
313310,Textile and Fabric Finishing Mills ,2254,Knit Underwear Mills
313310,Textile and Fabric Finishing Mills ,2257,Weft Knit Fabric Mills
313310,Textile and Fabric Finishing Mills ,2258,Lace and Warp Knit Fabric Mills
313310,Textile and Fabric Finishing Mills ,2259,"Knitting Mills, Nec"
313310,Textile and Fabric Finishing Mills ,2261,"Finishing Plants, Cotton"
313310,Textile and Fabric Finishing Mills ,2262,"Finishing Plants, Manmade"
313310,Textile and Fabric Finishing Mills ,2269,"Finishing Plants, Nec"
313310,Textile and Fabric Finishing Mills ,2269,"Finishing Plants, Nec"
313310,Textile and Fabric Finishing Mills ,2284,Thread Mills
313310,Textile and Fabric Finishing Mills ,2299,"Textile Goods, Nec"
313310,Textile and Fabric Finishing Mills ,5131,Piece Goods and Notions
313310,Textile and Fabric Finishing Mills ,5131,Piece Goods and Notions
313310,Textile and Fabric Finishing Mills ,7389,"Business Services, Nec"
313320,Fabric Coating Mills,2295,"Coated Fabrics, Not Rubberized"
313320,Fabric Coating Mills,3069,"Fabricated Rubber Products, Nec"
314110,Carpet and Rug Mills,2273,Carpets and Rugs
314120,Curtain and Linen Mills,2391,Curtains and Draperies
314120,Curtain and Linen Mills,2392,"Household Furnishings, Nec"
314120,Curtain and Linen Mills,5714,Drapery and Upholstery Stores
314120,Curtain and Linen Mills,5714,Drapery and Upholstery Stores
314910,Textile Bag and Canvas Mills ,2392,"Household Furnishings, Nec"
314910,Textile Bag and Canvas Mills ,2393,Textile Bags
314910,Textile Bag and Canvas Mills ,2394,Canvas and Related Products
